CLIENTE NORMAL,,,CLIENTE VIP,
,,,,
material,precio x M2,,material,precio x M2
lona,$110,,lona,$110
vinil brillante,$210,,vinil brillante,$550
vinnil mate,$230,,vinnil mate,$550
Vinil transparente,$230,,Vinil transparente,$550
Estatico Blanco,$290,,Estatico Blanco,$640
estatico transparente,$290,,estatico transparente,$640
Papel couche 150 g.,$190,,Papel couche 150 g.,
Papel couche 250 g.,$240,,Papel couche 250 g.,
Tela banner,$230,,Tela banner,
Backlight,$380,,Backlight,$600
Vinil microperforado,$190,,Vinil microperforado,$550
Fotografico glossy 230 g.,$300,,Fotografico glossy 230 g.,